Year,Month,AvgTempDegF
2017,5,61.20
2017,6,71.50
2017,7,74.60
2017,8,70.00
2017,9,68.00
2017,10,57.90
2017,11,42.30
2017,12,29.20
2018,1,22.90
2018,2,34.50
2018,3,37.90
2018,4,45.00
2018,5,70.70
2018,6,74.10
2018,7,73.90
2018,8,74.10
2018,9,70.20
2018,10,54.90
